Running hardfixing ./data/a280.tsp, time=1695358701
default hardfixing p = 500
TIMECOST:1695358710 2780
TIMECOST:1695358711 2719
TIMECOST:1695358712 2696
TIMECOST:1695358713 2682
TIMECOST:1695358714 2680
TIMECOST:1695358715 2645
TIMECOST:1695358716 2634
TIMECOST:1695358717 2625
TIMECOST:1695358718 2617
TIMECOST:1695358721 2612
TIMECOST:1695358722 2603
TIMECOST:1695358725 2597
TIMECOST:1695358726 2593
TIMECOST:1695358731 2591
TIMECOST:1695358737 2590
TIMECOST:1695358748 2585
TIMECOST:1695358750 2581
TIMECOST:1695358893 2579
Solution cost: 2579
Solution plot: gnuplot ./plot/gnu/commandF4B99E8E-49EE8409-76F94BC4-B5FD-D61E
